GEOID,name,City,incomeE,popE,popN,whiteE,blackE,na_anE,asianE,nh_opiE,oth_raceE,two_plusE,hispanicE,foreign_bornE,speak_oth_langE,public_trans_workE,med_incE,pub_asstE,povertyE,med_mo_housing_costE,fam_hhE,fam_hh_marE,fam_hh_othE,internetE,broadbandE,travel_workE,edu_12_nodegE,edu_hs_degE,edu_some_colE,edu_col_nodegE,edu_aa_degE,edu_bac_degE,edu_ms_degE,edu_prof_degE,edu_phd_degE,hh_inc_lt10kE,hh_inc_10_14KE,hh_inc_15_19KE,hh_inc_20_24KE,hh_inc_25_29KE,hh_inc_30_34KE,hh_inc_35_39KE,hh_inc_40_44KE,hh_inc_45_49KE,hh_inc_50_59KE,hh_inc_60_74KE,hh_inc_75_99KE,hh_inc_100_134KE,cluster,clust_title,INTPTLAT,INTPTLON
53063000201,CT 2.01,1,39756,3019,0.005715443,2537,169,8,94,0,78,133,185,262,14,22,27317,483,2879,873,672,490,182,1222,1222,1301,57,717,215,380,280,222,88,0,0,93,92,87,55,143,76,128,92,35,135,118,129,98,1,LILE,47.7101272,-117.371287
53063000202,CT 2.02,1,37330,1396,0.002642848,1158,11,39,0,35,56,97,112,62,0,42,20080,254,1295,825,254,125,129,563,563,498,0,128,89,222,132,83,33,19,0,81,55,11,40,72,47,55,101,0,69,37,13,12,3,HILE,47.7030301,-117.3703928
53063000301,CT 3.01,1,37038,2665,0.005045265,1780,188,122,142,0,124,309,207,194,13,0,18491,269,2621,1037,652,376,276,901,901,1050,24,483,91,369,178,221,88,0,0,89,50,150,23,64,120,80,142,60,61,90,55,75,1,LILE,47.7078308,-117.3829931
53063000302,CT 3.02,1,49562,3054,0.005781704,1973,240,2,200,0,22,617,178,311,77,43,26663,431,2896,1170,703,433,270,907,907,1340,147,374,215,462,226,186,56,0,0,34,95,39,10,69,0,90,74,97,183,50,105,48,1,LILE,47.707852,-117.3912147
53063000400,CT 4,1,47241,4275,0.008093249,3334,44,90,61,68,19,659,465,362,0,52,29765,545,3979,886,873,490,383,1512,1512,1699,45,658,198,996,298,159,140,32,0,186,75,35,89,108,147,81,131,61,192,170,312,134,1,LILE,47.7078715,-117.4032297
53063000500,CT 5,1,54734,3282,0.006213344,2569,93,91,105,16,43,365,148,155,0,7,34103,379,3075,1082,817,615,202,1323,1305,1595,20,625,219,311,324,303,57,21,50,27,42,25,48,31,107,106,113,105,163,234,195,103,1,LILE,47.7078639,-117.4185054
53063000600,CT 6,1,63750,3278,0.006205771,2833,86,9,200,0,69,81,151,137,7,87,38920,368,3077,1049,768,523,245,1196,1196,1549,17,586,221,362,400,362,98,0,0,32,60,19,46,23,82,65,103,65,99,148,196,158,3,HILE,47.708114,-117.4311015
53063000700,CT 7,1,58589,5498,0.010408581,5033,7,31,19,18,54,336,353,35,0,38,34385,665,5306,1101,1462,717,745,2001,2001,2568,91,523,522,762,466,663,205,7,14,116,86,74,39,133,137,96,132,128,241,214,409,137,2,LIME,47.7080925,-117.4451911
53063000800,CT 8,1,79487,5568,0.010541102,4712,263,113,44,11,68,357,410,109,0,13,36649,58,5365,1178,1392,1234,158,1843,1828,2076,54,629,430,613,518,952,468,60,27,75,33,63,49,133,24,25,161,51,119,224,254,339,4,HIHE,47.7204887,-117.4626406
53063000900,CT 9,1,66860,6367,0.012053735,5837,53,24,31,27,0,395,198,73,0,25,34628,781,6061,1134,1768,1207,561,2057,2047,2245,92,985,393,733,457,883,96,91,14,123,36,123,64,48,49,82,128,46,270,417,515,249,2,LIME,47.7077302,-117.4716375
53063001000,CT 10,1,62610,5464,0.010344214,5147,5,19,16,0,13,264,138,72,0,79,43675,383,5326,1224,1530,1076,454,2074,2074,2456,92,670,316,806,504,797,435,22,42,35,48,38,87,101,150,111,110,231,173,236,330,387,4,HIHE,47.6968283,-117.4739585
53063001100,CT 11,1,78419,3567,0.006752894,2619,68,13,110,56,47,654,538,196,0,28,37562,34,3356,1153,1061,749,312,1368,1368,1619,15,415,238,464,333,735,224,24,31,18,2,34,23,31,81,27,69,70,95,207,279,255,3,HILE,47.6930083,-117.4451693
53063001200,CT 12,1,57024,2473,0.004681779,1982,13,51,56,92,125,154,155,99,6,8,30184,132,2341,1159,566,374,192,885,880,986,8,342,263,323,233,299,62,5,6,27,33,11,69,50,29,53,37,93,102,156,120,117,3,HILE,47.6950551,-117.431158
53063001300,CT 13,1,43469,3443,0.006518142,2881,88,59,37,0,51,327,236,68,0,78,27500,167,3308,964,697,517,180,1368,1368,1667,82,490,333,406,435,268,124,38,16,146,133,35,37,99,103,88,144,55,43,208,124,170,1,LILE,47.6942589,-117.4183333
53063001400,CT 14,1,45469,6722,0.012725806,5020,272,25,615,0,151,639,826,817,28,140,25682,1276,6497,1064,1274,880,394,2267,2254,2472,14,934,377,680,538,583,206,19,0,122,188,61,88,56,304,100,274,102,316,215,260,110,2,LIME,47.6909025,-117.4033144
53063001500,CT 15,1,53105,5716,0.01082129,5168,130,121,78,0,31,188,146,97,8,72,30293,539,5633,1019,1413,888,525,1902,1902,2282,96,820,195,709,619,415,365,17,0,52,54,195,96,109,276,100,170,67,375,203,241,325,2,LIME,47.6920183,-117.3876644
53063001600,CT 16,1,43630,3510,0.006644984,2751,140,45,0,134,71,369,464,458,22,38,26870,682,3396,888,806,429,377,1138,1130,1390,43,718,192,384,221,130,45,0,0,144,105,63,39,88,109,70,108,79,52,40,304,156,1,LILE,47.6923843,-117.3711367
53063001800,CT 18,1,42117,3088,0.005846071,2576,34,45,13,0,106,314,141,248,0,46,29176,114,2897,770,694,367,327,1065,1060,1141,48,494,145,379,259,411,215,0,47,89,92,132,109,82,79,30,90,0,156,116,133,102,1,LILE,47.6791825,-117.3847468
53063001900,CT 19,1,58478,3755,0.007108807,3271,59,104,32,0,8,281,150,47,0,8,35080,244,3513,1105,858,568,290,1363,1357,1593,36,527,235,389,346,476,186,7,55,115,80,0,29,50,64,104,93,59,156,211,169,132,1,LILE,47.6814745,-117.4191814
53063002000,CT 20,1,36145,4333,0.008203053,3650,65,204,27,92,16,279,458,332,82,94,24675,489,4155,991,875,370,505,1602,1583,1659,120,608,368,603,450,304,103,28,6,259,72,44,129,88,205,189,93,60,49,151,235,48,1,LILE,47.678431,-117.4317189
53063002100,CT 21,1,67538,2601,0.004924103,2280,18,30,14,116,0,143,122,103,0,11,31904,141,2505,1041,648,378,270,1048,1019,1228,42,412,209,232,358,197,112,59,16,17,37,55,55,61,74,26,19,64,74,131,333,129,3,HILE,47.6785885,-117.4420301
53063002300,CT 23,1,58302,4758,0.009007645,3473,174,265,110,22,140,574,450,139,0,124,30560,174,4736,907,1020,705,315,1944,1929,2241,79,938,431,391,483,696,226,139,68,222,223,93,130,48,154,70,108,33,104,254,343,161,2,LIME,47.6668625,-117.4498224
53063002400,CT 24,1,26750,3222,0.006099754,2452,123,159,69,0,99,320,267,115,0,56,17286,295,2173,867,336,182,154,994,994,668,8,255,136,550,238,383,99,71,9,265,156,104,48,71,38,66,35,29,137,123,76,45,1,LILE,47.6667098,-117.4230915
53063002501,CT 25.01,1,40640,3233,0.006120579,2147,209,73,92,8,201,503,355,170,0,83,14285,32,2952,818,405,284,121,1084,1084,1753,0,345,61,305,288,274,46,0,0,133,174,64,55,43,26,84,86,53,149,45,75,57,1,LILE,47.6756959,-117.4038614
53063002502,CT 25.02,1,39214,2612,0.004944928,2393,89,0,60,0,23,47,73,137,11,0,21510,125,2359,990,356,282,74,793,793,1120,82,531,35,401,183,270,52,0,0,126,137,81,71,41,26,53,24,10,114,198,114,53,1,LILE,47.6719706,-117.3931032
53063002600,CT 26,1,44738,4982,0.009431712,3479,159,40,396,58,41,809,497,515,0,179,23404,693,4743,927,1155,733,422,2015,2015,2440,71,601,426,847,336,429,91,17,19,110,128,110,189,57,178,178,108,73,180,357,233,102,2,LIME,47.6728223,-117.3759555
53063002900,CT 29,1,73913,3552,0.006724496,2813,35,0,277,0,131,296,311,491,73,63,35658,185,3324,1220,879,660,219,1195,1195,1574,60,579,199,400,265,631,57,40,15,23,0,30,19,93,33,56,38,11,161,162,197,290,3,HILE,47.6468897,-117.3541649
53063003000,CT 30,1,46868,2552,0.004831339,1985,83,37,55,58,0,334,319,266,7,22,28250,397,2499,1003,595,396,199,821,817,1045,22,264,155,352,88,393,129,12,11,80,103,35,91,14,31,27,23,91,49,55,139,141,3,HILE,47.6507151,-117.3722274
53063003100,CT 31,1,61265,5181,0.00980845,4470,108,74,121,124,15,269,453,370,0,120,35330,293,4931,1251,1235,973,262,2097,2097,2585,27,460,359,582,327,1365,365,159,70,256,90,64,74,103,99,74,84,88,157,381,302,133,4,HIHE,47.6458728,-117.391885
53063003200,CT 32,1,46545,2873,0.005439042,2566,60,56,146,0,13,32,214,227,0,54,36046,64,2583,948,404,252,152,1427,1378,1276,50,540,60,460,255,650,195,39,29,109,22,34,87,6,130,148,155,203,149,117,209,142,1,LILE,47.6493664,-117.4146266
53063003500,CT 35,1,14015,2743,0.005192932,2414,73,38,78,0,17,123,149,78,0,146,13750,43,2626,550,256,170,86,1333,1318,815,12,346,298,459,222,421,171,43,38,553,458,86,73,113,124,75,43,9,9,32,85,84,1,LILE,47.6575712,-117.4215755
53063003601,CT 36.01,1,30684,2413,0.00456819,1859,0,137,81,0,6,330,271,49,0,105,26350,325,2329,998,506,243,263,1123,1123,1127,22,85,83,641,104,320,173,49,7,174,37,94,89,209,60,6,53,92,53,86,53,31,1,LILE,47.674326,-117.4543483
53063003602,CT 36.02,1,37268,2420,0.004581442,2028,75,46,131,0,49,91,164,107,0,305,27283,27,2393,760,203,119,84,1551,1551,1241,0,301,100,614,227,487,197,18,18,47,336,160,63,197,10,93,104,79,94,186,122,108,1,LILE,47.6539524,-117.4423934
53063003800,CT 38,1,62014,1811,0.003428509,1636,4,7,56,0,9,99,38,154,0,23,35288,91,1739,1003,427,247,180,840,840,949,26,195,70,198,272,351,117,20,17,68,16,52,22,14,39,48,39,71,69,106,202,46,3,HILE,47.6481654,-117.465186
53063003900,CT 39,1,49595,2473,0.004681779,2254,13,27,15,0,0,164,85,111,24,6,32557,128,2407,892,671,489,182,1006,1006,656,63,135,125,328,274,307,239,94,31,54,72,33,96,52,44,81,42,105,102,84,54,70,3,HILE,47.6180704,-117.4264481
53063004001,CT 40.01,1,51711,2760,0.005225115,1882,461,11,247,0,0,159,39,387,0,38,31704,224,2760,836,620,306,314,1280,1280,1343,23,136,183,457,325,348,164,12,51,128,55,44,55,52,135,49,114,19,182,236,105,30,1,LILE,47.64501,-117.429432
53063004002,CT 40.02,1,42170,2378,0.004501929,2043,24,16,0,17,228,50,262,0,0,123,32934,77,2237,880,464,237,227,1318,1318,1304,51,171,127,325,153,515,159,9,30,61,75,51,30,85,172,72,174,25,198,174,43,10,1,LILE,47.6466864,-117.4375558
53063004100,CT 41,1,75500,2238,0.004236887,2009,73,18,39,8,30,61,87,44,0,89,40811,53,2195,1117,583,460,123,970,970,994,11,104,57,329,123,552,308,110,104,38,33,11,130,28,24,46,30,26,57,104,119,147,3,HILE,47.6429386,-117.414131
53063004200,CT 42,1,103417,4869,0.009217785,4196,8,9,75,4,108,469,432,277,10,83,49795,163,4715,1567,1498,1261,237,1862,1862,2024,7,302,150,326,164,1156,694,322,251,116,7,0,15,51,33,44,56,39,57,144,374,249,4,HIHE,47.6341872,-117.4189252
53063004300,CT 43,1,98542,3571,0.006760466,3256,67,0,48,0,0,200,146,201,0,89,50557,76,3408,1200,1006,829,177,1397,1387,1588,0,182,135,386,370,826,378,167,138,34,51,9,10,21,54,46,43,36,128,102,245,201,3,HILE,47.6226226,-117.4134711
53063004400,CT 44,1,65890,4799,0.009085264,4392,111,1,64,0,58,173,247,129,0,66,36614,156,4693,1312,1252,972,280,1877,1860,2223,9,367,191,512,491,1048,474,161,48,30,127,35,92,44,78,86,29,140,263,239,382,271,4,HIHE,47.6210063,-117.3932696
53063004500,CT 45,1,98281,3728,0.007057692,3374,1,33,125,21,15,159,126,121,15,9,50842,48,3571,1273,1016,890,126,1488,1488,1337,13,80,59,416,244,843,615,252,123,44,9,67,33,34,10,62,59,54,156,59,203,172,3,HILE,47.6334928,-117.3914198
53063004601,CT 46.01,1,45503,3956,0.007489332,3312,70,14,84,0,30,446,186,197,0,23,34924,227,3793,873,906,639,267,1696,1696,1364,46,481,286,463,354,785,290,54,69,217,107,212,177,82,47,154,52,173,102,136,257,161,1,LILE,47.6377312,-117.3709394
53063004602,CT 46.02,1,86806,3160,0.005982378,2540,153,21,144,15,34,253,171,254,0,42,46948,285,3067,1266,951,723,228,1198,1188,1490,0,357,215,368,268,610,267,42,31,50,37,24,4,36,17,22,18,59,86,100,298,123,3,HILE,47.6342734,-117.3550355
53063004701,CT 47.01,1,72604,3272,0.006194412,2339,2,285,72,0,139,435,248,292,0,33,41320,411,3104,1253,678,470,208,1122,1122,1231,21,392,192,420,407,320,150,29,9,40,45,11,43,37,64,0,12,77,132,151,112,203,3,HILE,47.6245432,-117.3578354
53063004702,CT 47.02,1,71742,3803,0.007199679,3479,1,0,0,5,153,165,92,328,0,109,42750,224,3655,1174,910,717,193,1495,1495,1426,16,373,132,511,273,415,714,208,45,106,63,79,49,13,47,20,60,48,211,134,258,146,3,HILE,47.6210452,-117.3764523
53063004800,CT 48,1,53167,4132,0.007822528,3673,171,31,113,0,8,136,151,230,6,88,40409,130,3972,1218,1013,782,231,1692,1677,1519,19,380,309,409,246,1063,397,77,32,57,102,97,222,49,66,125,152,89,109,169,148,287,1,LILE,47.6131105,-117.3562995
53063004900,CT 49,1,99925,5684,0.010760709,4929,58,30,83,0,164,420,525,244,0,27,43156,30,5536,1184,1538,1388,150,2279,2270,2074,21,327,162,446,486,1525,477,267,82,89,29,71,47,93,144,46,101,88,100,88,274,232,4,HIHE,47.6061666,-117.3830752
53063005000,CT 50,1,66417,4731,0.008956529,3980,194,80,126,93,0,258,145,325,0,28,45858,441,4447,1010,1120,791,329,1742,1742,1574,23,369,216,417,385,825,544,329,84,231,90,98,171,35,43,23,120,45,96,203,229,44,4,HIHE,47.5885704,-117.3692775
53063010101,CT 101.01,0,66304,3537,0.006696099,3167,0,0,32,0,0,338,246,101,63,17,41613,191,3501,1142,1065,1049,16,1400,1400,1507,0,585,225,515,485,486,298,17,33,32,0,0,16,0,15,212,114,168,157,114,133,168,3,HILE,47.7427133,-117.1467515
53063010102,CT 101.02,0,101027,2818,0.005334919,2559,0,36,52,0,0,171,0,74,0,0,50373,15,2695,1197,875,747,128,987,987,1561,12,341,232,478,338,503,81,19,19,15,0,0,0,43,13,36,30,0,103,152,129,116,3,HILE,47.9053874,-117.1138914
53063010201,CT 102.01,0,73093,4425,0.008377223,4006,0,39,16,0,0,364,69,63,0,0,36306,175,4321,1354,1433,1084,349,1483,1464,1835,103,898,277,626,501,550,123,55,47,0,17,47,12,55,89,72,53,44,252,420,224,148,4,HIHE,47.9499281,-117.2525258
53063010203,CT 102.03,0,105588,4798,0.009083371,4262,0,2,128,59,195,152,71,297,27,16,48275,33,4446,1464,1193,1115,78,1378,1378,1905,28,487,202,668,524,633,305,112,74,16,37,0,34,0,32,14,74,13,125,113,245,119,4,HIHE,47.8177863,-117.3148324
53063010204,CT 102.04,0,74769,3311,0.006268245,3227,0,0,0,0,0,84,161,0,0,0,38458,32,3147,1299,796,718,78,814,800,1085,14,218,96,430,364,631,131,79,0,32,19,16,18,0,42,17,44,67,62,173,127,104,3,HILE,47.8114359,-117.2303426
53063010301,CT 103.01,0,55409,4953,0.00937681,4408,0,107,0,20,55,363,151,86,0,0,30764,289,4697,927,1227,996,231,1739,1731,1787,40,866,282,627,578,346,188,19,0,151,107,137,19,87,83,39,162,85,240,214,324,159,1,LILE,47.9533878,-117.4676386
53063010303,CT 103.03,0,81528,3507,0.006639304,3401,0,26,0,0,0,80,32,168,7,0,29752,248,3355,1118,925,885,40,1157,1157,1233,5,687,114,609,359,487,94,36,29,24,30,57,18,16,63,53,47,6,112,149,218,61,3,HILE,47.8834033,-117.4856874
53063010304,CT 103.04,0,55972,5745,0.010876191,5094,28,0,49,0,0,574,178,89,0,0,26791,415,5488,787,1618,1358,260,1888,1874,1880,23,984,519,878,987,309,43,8,0,156,94,40,129,125,82,170,161,17,264,182,326,219,2,LIME,47.9951067,-117.4255461
53063010305,CT 103.05,0,106563,7818,0.014800707,7164,0,30,31,0,49,544,196,108,0,0,36402,148,7660,1526,2380,2114,266,2562,2562,3373,38,901,468,1245,719,871,630,81,23,119,95,46,13,51,0,106,20,83,119,201,397,658,4,HIHE,47.8729286,-117.3798019
53063010401,CT 104.01,0,54318,8591,0.016264118,5521,550,510,504,317,295,894,924,755,14,16,22977,857,5303,1055,1390,700,690,1924,1924,2221,92,1036,739,1239,680,347,256,18,24,142,100,83,65,190,83,115,93,104,227,251,286,190,2,LIME,47.6411651,-117.5927146
53063010403,CT 104.03,0,66786,3333,0.006309895,2924,3,10,116,0,120,160,225,381,63,0,34125,138,3210,1204,960,772,188,1077,1077,1096,9,642,116,428,539,467,8,0,0,12,93,69,106,0,0,6,43,48,159,128,114,198,3,HILE,47.6647928,-117.7061884
53063010404,CT 104.04,0,86597,2795,0.005291376,2530,0,84,17,0,0,164,60,54,0,0,38718,9,2737,1150,771,643,128,1008,985,1052,37,395,310,505,435,375,61,34,20,43,20,39,20,58,31,31,21,0,80,98,145,132,3,HILE,47.768312,-117.6839713
53063010504,CT 105.04,0,83661,3555,0.006730176,3452,0,13,0,0,56,34,304,42,0,0,40036,122,3462,1065,1075,903,172,1304,1296,1318,20,542,151,445,284,473,289,50,10,25,15,64,39,88,16,38,17,112,103,114,202,181,3,HILE,47.8052034,-117.3630427
53063010505,CT 105.05,0,97700,3780,0.007156136,3335,0,108,12,0,0,325,190,135,19,4,39119,19,3648,1396,1059,913,146,1241,1241,1610,81,439,197,210,393,686,150,25,123,37,0,36,10,31,97,46,109,0,8,98,181,205,3,HILE,47.7628045,-117.4032315
